#B站推出青少年模式#,,,,
username,comment,interact,date,likes
望江蔡徐坤,雨哦无瓜,null,5-30 14:33,
高贵路人的马甲,推出实名认证吧,null,5-30 14:29,
teennager19,跟抖音学的？,null,5-30 14:26,
不随漂,垃圾b站,null,5-30 14:25,
Molly-今天学习了吗,挺好的 起码算是改变 对成年人和青少年都好,null,5-30 14:24,1
打卡记录小号,希望b站别给我推荐那个gay的直播了，我是声控也不反感同性，但是那种作作的说自己是gay的很烦好吗？成年人也想首页净化。我一个只看游戏直播为什么要给我推荐这个真的第一次被恶心到了，第二次点不感兴趣了，不要再来第三次了,null,5-30 14:23,1
ALLEZECTS,@jdheialk,null,5-30 14:22,
-A飞机的狗子-,@刺橈 @常大锅,null,5-30 14:22,
张狗腚儿的猪,@张狗腚儿 建议使用,null,5-30 14:17,
胖妖怪啊,@抖抖龙与胖比,null,5-30 14:14,
陆一虎呼呼,太好了，给成年人一点空间。,null,5-30 14:11,1
DuangAngAngaaaa,我觉得挺好,null,5-30 14:10,
喧嚣的风123,实名吧，不是每个人都是青少年啊，成年人就不照顾一下嘛？？？？？,null,5-30 14:06,2
渐渐地喜欢上随机播放,@起个昵称好难啊啊哦哦,null,5-30 14:01,
用户6166963047,苦难飘来飘去会落到每个人的头上哈,null,5-30 14:00,
間------,@Luhan714,null,5-30 13:59,
来碗橘子茶,虽然我不是青少年但是听起来对我早睡很有帮助,共32条回复,5-30 12:05,1510
鲁小哀,放过青少年吧……,共47条回复,5-30 12:05,118
octobbit99,我觉得OK,共23条回复,5-30 12:03,685
啊哦额咦唔宇哈,我已经帮我弟锁了,共34条回复,5-30 12:06,604
april_blossoms,我同意 如果能把分级制度推广下去就好了 把那些乱七八糟禁掉的东西全都搞回来 现在这个情况 虽然功能有别 但实际上成年人能看到的东西不比青少年多,共5条回复,5-30 12:13,361
ldnless,怎么识别青少年啊,共17条回复,5-30 12:04,169
请你不要随便关注我,确实，如今网络世界纷繁复杂，青春期的孩子们有时候不能正确分辨是非，应该提供一个绿色的网络环境给孩子们，温暖,null,5-30 12:08,100
小鹿斑比啵,挺好的 早就该分级了 支持,共5条回复,5-30 12:06,90
遥清vvvvvv,我觉得挺好！这个再管不住就是你自己和家长的问题了。b站已经是尽力了！支持！！！,null,5-30 12:11,86
原来是邱少华,建议所有的视频app都推出，谢谢,共5条回复,5-30 13:05,22
xin648018871,个人解读:我已经做了个青少年模式，至于你能不能管住自己孩子不要乱上网就是你自己的事了，不要全部都赖我的网站，除了你孩子还有好多人看的。,null,5-30 13:07,46
喜欢有趣的灵魂ha,B站一直在进步,null,5-30 12:10,39
丫丫OFFGUNTAYNEW,没毛病,null,5-30 12:04,11
小柯柯HH,非常好！,null,5-30 12:07,12
野生同袍,能不能所有APP都弄个未成年模式和成年人模式，区分一下，别就动不动就以未成年的名义禁着禁那的,null,5-30 13:12,22
双子王伊,没什么用吧？怎么识别谁是青少年啊？不使用等于没什么用,共3条回复,5-30 12:12,4
博爱xx,挺好 赶紧分级吧 整天因为“青少年成长”这个原因耽误成年人成熟,null,5-30 14:19,6
自然卷啊w,但是可以不选择青少年模式啊,null,5-30 12:30,3
比啊咔叽脆,@因为你看不见我看不见我 请开启青少年模式,null,5-30 12:14,2
一只卤鸭小腿,我觉得挺好的啊 这种不是比一刀切好多了嘛？而且这才刚刚开始 我觉得有这种倾向已经非常好了,null,5-30 12:26,6
Anxiety001,社会主义核心价值观 真棒！,null,5-30 12:39,5
yeokyolo,说真的我觉得只要网速够快 床够软 我可以抱着b站躺到瘫,null,5-30 12:23,7
Dolce_Kitty,@西便门乔鲁诺乔班纳,null,5-30 12:28,
